year,audio_feature,value
2003,speechiness,0.1415663157894737
2004,speechiness,0.12161052631578945
2005,speechiness,0.1288073684210526
2006,speechiness,0.13116041666666664
2007,speechiness,0.11990215053763434
2008,speechiness,0.09533775510204083
2009,speechiness,0.09620816326530612
2010,speechiness,0.09918333333333339
2011,speechiness,0.08986276595744681
2012,speechiness,0.08376907216494847
2013,speechiness,0.06925416666666669
2014,speechiness,0.08068699999999998
2015,speechiness,0.08712424242424238
2016,speechiness,0.11462222222222225
2017,speechiness,0.12138877551020409
2018,speechiness,0.11943434343434345
2019,speechiness,0.13215656565656575
2020,speechiness,0.12143469387755101
2021,speechiness,0.12322371134020622
1971,acousticness,0.40757252747252726
1972,acousticness,0.4411372340425531
1973,acousticness,0.35728228260869566
1974,acousticness,0.4000463978494623
1975,acousticness,0.3566469177083333
1976,acousticness,0.30535125000000013
1977,acousticness,0.3307040217391303
1978,acousticness,0.30283718750000005
1979,acousticness,0.23522284782608682
1980,acousticness,0.31118895999999985
1981,acousticness,0.29318765624999993
1982,acousticness,0.2789909072164949
1983,acousticness,0.2225582268041238
1984,acousticness,0.1659877157894737
1985,acousticness,0.21102940624999997
1986,acousticness,0.19878521276595745
1987,acousticness,0.20353949999999996
1988,acousticness,0.19892009890109894
1989,acousticness,0.20041154255319146
1990,acousticness,0.1655358617021276
1991,acousticness,0.1932901685393259
1992,acousticness,0.17700173404255318
1993,acousticness,0.18909979347826084
1994,acousticness,0.20790793478260863
1995,acousticness,0.1994349064516128
1996,acousticness,0.22581117391304345
1997,acousticness,0.2506275168539327
1998,acousticness,0.22718954022988505
1999,acousticness,0.1905726347826086
2000,acousticness,0.13516385789473687
2001,acousticness,0.15525359139784953
2002,acousticness,0.14792185604395605
2003,acousticness,0.19767760000000006
2004,acousticness,0.17837176842105262
2005,acousticness,0.119854147368421
2006,acousticness,0.11427511458333334
2007,acousticness,0.13512068924731183
2008,acousticness,0.12461839285714282
2009,acousticness,0.13121042857142853
2010,acousticness,0.11396507708333332
2011,acousticness,0.11029534042553191
2012,acousticness,0.10934562886597944
2013,acousticness,0.1281195520833334
2014,acousticness,0.13923016
2015,acousticness,0.17100640404040404
2016,acousticness,0.1686334343434344
2017,acousticness,0.16402624489795914
2018,acousticness,0.1573611414141414
2019,acousticness,0.21785855555555544
2020,acousticness,0.22459867346938758
2021,acousticness,0.23840005154639174
1971,instrumentalness,0.029318393186813178
1972,instrumentalness,0.044509700744680865
1973,instrumentalness,0.07729697934782609
1974,instrumentalness,0.04531843731182796
1975,instrumentalness,0.05879585822916667
1976,instrumentalness,0.052478791666666656
1977,instrumentalness,0.029444199456521748
1978,instrumentalness,0.01717444645833333
1979,instrumentalness,0.03830674728260869
1980,instrumentalness,0.04072837044444444
1981,instrumentalness,0.018585297083333337
1982,instrumentalness,0.01721447412371134
1983,instrumentalness,0.023745348144329905
1984,instrumentalness,0.007295167578947369
1985,instrumentalness,0.03270113833333334
1986,instrumentalness,0.033856699787234046
1987,instrumentalness,0.025151326562499993
1988,instrumentalness,0.011996428571428571
1989,instrumentalness,0.023305302978723415
1990,instrumentalness,0.022030715106382978
1991,instrumentalness,0.0357724915730337
1992,instrumentalness,0.020692974893617017
1993,instrumentalness,0.033764846195652176
1994,instrumentalness,0.009365876630434785
1995,instrumentalness,0.014103929032258058
1996,instrumentalness,0.037476628804347815
1997,instrumentalness,0.028483265730337076
1998,instrumentalness,0.009360829425287353
1999,instrumentalness,0.0017029272826086955
2000,instrumentalness,0.008939910947368422
2001,instrumentalness,0.009912435591397852
2002,instrumentalness,0.008928348131868135
2003,instrumentalness,0.008361311473684208
2004,instrumentalness,0.0031464603157894742
2005,instrumentalness,0.012348815789473683
2006,instrumentalness,0.012280895208333331
2007,instrumentalness,0.009718346021505377
2008,instrumentalness,0.013030690306122448
2009,instrumentalness,0.00947729224489796
2010,instrumentalness,0.0029902047916666673
2011,instrumentalness,0.0025357421276595744
2012,instrumentalness,0.002315775773195876
2013,instrumentalness,0.006634394791666668
2014,instrumentalness,0.006855988900000001
2015,instrumentalness,0.0017427954545454548
2016,instrumentalness,0.004346822222222222
2017,instrumentalness,0.0027217180612244896
2018,instrumentalness,0.001601385454545455
2019,instrumentalness,0.006467809191919193
2020,instrumentalness,0.008176248265306123
2021,instrumentalness,0.0021483006185567008
1971,liveness,0.18294285714285716
1972,liveness,0.19306170212765958
1973,liveness,0.18573043478260864
1974,liveness,0.19209569892473116
1975,liveness,0.18781979166666674
1976,liveness,0.166671875
1977,liveness,0.16065108695652172
1978,liveness,0.1696302083333332
1979,liveness,0.17383913043478255
1980,liveness,0.1297455555555555
1981,liveness,0.15593541666666674
1982,liveness,0.19241443298969066
1983,liveness,0.16140515463917524
1984,liveness,0.20413684210526317
1985,liveness,0.14936979166666672
1986,liveness,0.14733510638297875
1987,liveness,0.13294270833333338
1988,liveness,0.15854175824175826
1989,liveness,0.14806276595744672
1990,liveness,0.1637702127659574
1991,liveness,0.1761921348314607
1992,liveness,0.17859468085106384
1993,liveness,0.2023369565217391
1994,liveness,0.18055108695652175
1995,liveness,0.15819569892473126
1996,liveness,0.1667728260869565
1997,liveness,0.15614719101123595
1998,liveness,0.16897931034482758
1999,liveness,0.1640358695652174
2000,liveness,0.14669368421052634
2001,liveness,0.16638387096774193
2002,liveness,0.15888901098901104
2003,liveness,0.1759663157894736
2004,liveness,0.1580989473684211
2005,liveness,0.17024631578947377
2006,liveness,0.1876895833333333
2007,liveness,0.18677419354838706
2008,liveness,0.177365306122449
2009,liveness,0.19120510204081625
2010,liveness,0.20557083333333345
2011,liveness,0.1880904255319149
2012,liveness,0.18584020618556704
2013,liveness,0.16463437500000003
2014,liveness,0.16431800000000008
2015,liveness,0.17826464646464635
2016,liveness,0.17935656565656566
2017,liveness,0.14004387755102038
2018,liveness,0.1538696969696969
2019,liveness,0.152640404040404
2020,liveness,0.19023673469387758
2021,liveness,0.18152680412371122
1971,valence,0.693087912087912
1972,valence,0.6587340425531917
1973,valence,0.6977282608695653
1974,valence,0.6732677419354838
1975,valence,0.6527395833333334
1976,valence,0.7004270833333334
1977,valence,0.6216086956521739
1978,valence,0.6274843750000001
1979,valence,0.7017641304347826
1980,valence,0.6460544444444444
1981,valence,0.5888989583333332
1982,valence,0.6516247422680415
1983,valence,0.6391061855670103
1984,valence,0.6957178947368418
1985,valence,0.6762187500000002
1986,valence,0.6601329787234044
1987,valence,0.6418229166666667
1988,valence,0.6342747252747252
1989,valence,0.5839255319148937
1990,valence,0.6163308510638298
1991,valence,0.5955483146067416
1992,valence,0.5627404255319151
1993,valence,0.541945652173913
1994,valence,0.5347065217391304
1995,valence,0.5460666666666667
1996,valence,0.5948152173913044
1997,valence,0.5419011235955057
1998,valence,0.5531747126436782
1999,valence,0.5489347826086958
2000,valence,0.6113926315789472
2001,valence,0.5781978494623655
2002,valence,0.6001340659340658
2003,valence,0.597814736842105
2004,valence,0.5831168421052629
2005,valence,0.5539052631578946
2006,valence,0.5600729166666667
2007,valence,0.5752043010752688
2008,valence,0.5223704081632653
2009,valence,0.533326530612245
2010,valence,0.5514791666666667
2011,valence,0.5334648936170212
2012,valence,0.5572783505154639
2013,valence,0.5212114583333334
2014,valence,0.523531
2015,valence,0.5006363636363635
2016,valence,0.4549939393939396
2017,valence,0.5044806122448978
2018,valence,0.45203434343434323
2019,valence,0.47812828282828307
2020,valence,0.4898030612244899
2021,valence,0.4890876288659793
1971,tempo,117.29554945054946
1972,tempo,118.65196808510635
1973,tempo,122.1631195652174
1974,tempo,118.10015053763443
1975,tempo,115.68037499999998
1976,tempo,118.19476041666663
1977,tempo,120.29902173913045
1978,tempo,114.60114583333332
1979,tempo,120.24428260869563
1980,tempo,125.48754444444447
1981,tempo,120.25765624999997
1982,tempo,124.48041237113398
1983,tempo,120.94825773195872
1984,tempo,123.8298
1985,tempo,116.97994791666667
1986,tempo,117.0349574468085
1987,tempo,121.97121874999998
1988,tempo,118.41384615384611
1989,tempo,120.69186170212758
1990,tempo,116.86995744680854
1991,tempo,117.97964044943825
1992,tempo,120.39047872340426
1993,tempo,113.3566304347826
1994,tempo,119.80133695652172
1995,tempo,117.17181720430112
1996,tempo,115.03766304347828
1997,tempo,118.86480898876405
1998,tempo,120.85239080459768
1999,tempo,110.87797826086953
2000,tempo,119.00265263157891
2001,tempo,116.53459139784948
2002,tempo,116.97098901098902
2003,tempo,115.44986315789477
2004,tempo,118.00601052631576
2005,tempo,114.61714736842104
2006,tempo,116.85494791666672
2007,tempo,118.50813978494625
2008,tempo,122.59501020408165
2009,tempo,127.32886734693875
2010,tempo,116.77966666666669
2011,tempo,127.52448936170212
2012,tempo,126.68494845360827
2013,tempo,119.27054166666666
2014,tempo,120.29343999999993
2015,tempo,121.86129292929292
2016,tempo,120.87144444444444
2017,tempo,119.46886734693877
2018,tempo,120.63849494949493
2019,tempo,119.39874747474747
2020,tempo,119.49674489795918
2021,tempo,118.23288659793816
1971,duration_ms,210950.0
1972,duration_ms,214846.05319148937
1973,duration_ms,253062.39130434784
1974,duration_ms,240004.4516129032
1975,duration_ms,231544.04166666666
1976,duration_ms,251370.8125
1977,duration_ms,237490.95652173914
1978,duration_ms,260447.11458333334
1979,duration_ms,258879.65217391305
1980,duration_ms,250551.34444444443
1981,duration_ms,241849.82291666666
1982,duration_ms,233325.37113402062
1983,duration_ms,257541.0206185567
1984,duration_ms,257079.91578947369
1985,duration_ms,267147.875
1986,duration_ms,271451.91489361704
1987,duration_ms,258988.41666666666
1988,duration_ms,263230.71428571426
1989,duration_ms,269684.0319148936
1990,duration_ms,277441.0319148936
1991,duration_ms,265365.6404494382
1992,duration_ms,279569.6808510638
1993,duration_ms,267325.52173913043
1994,duration_ms,269577.95652173914
1995,duration_ms,268296.9784946237
1996,duration_ms,269340.9456521739
1997,duration_ms,261547.78651685393
1998,duration_ms,261809.2988505747
1999,duration_ms,254901.86956521738
2000,duration_ms,247451.56842105262
2001,duration_ms,244147.74193548388
2002,duration_ms,250788.64835164836
2003,duration_ms,253294.28421052633
2004,duration_ms,246844.68421052632
2005,duration_ms,236845.13684210528
2006,duration_ms,235169.64583333334
2007,duration_ms,246033.98924731184
2008,duration_ms,235520.73469387754
2009,duration_ms,240669.42857142858
2010,duration_ms,228390.78125
2011,duration_ms,233627.1489361702
2012,duration_ms,223829.50515463916
2013,duration_ms,230852.63541666666
2014,duration_ms,230828.93
2015,duration_ms,219200.38383838383
2016,duration_ms,222604.7373737374
2017,duration_ms,223494.79591836734
2018,duration_ms,212982.7676767677
2019,duration_ms,193879.7676767677
2020,duration_ms,196588.24489795917
2021,duration_ms,193171.77319587627
1971,time_signature,3.9450549450549453
1972,time_signature,3.9468085106382977
1973,time_signature,3.9130434782608696
1974,time_signature,3.935483870967742
1975,time_signature,3.9583333333333335
1976,time_signature,3.9583333333333335
1977,time_signature,3.9239130434782608
1978,time_signature,3.9479166666666665
1979,time_signature,3.989130434782609
1980,time_signature,3.966666666666667
1981,time_signature,3.96875
1982,time_signature,3.9690721649484537
1983,time_signature,4.010309278350515
1984,time_signature,3.9894736842105263
1985,time_signature,3.9895833333333335
1986,time_signature,4.0
1987,time_signature,4.0
1988,time_signature,3.978021978021978
1989,time_signature,3.978723404255319
1990,time_signature,3.978723404255319
1991,time_signature,3.9775280898876404
1992,time_signature,3.9680851063829787
1993,time_signature,3.967391304347826
1994,time_signature,3.9456521739130435
1995,time_signature,3.935483870967742
1996,time_signature,4.0
1997,time_signature,3.9887640449438204
1998,time_signature,3.9310344827586206
1999,time_signature,3.967391304347826
2000,time_signature,4.0
2001,time_signature,3.978494623655914
2002,time_signature,3.978021978021978
2003,time_signature,3.957894736842105
2004,time_signature,3.9368421052631577
2005,time_signature,3.9789473684210526
2006,time_signature,4.010416666666667
2007,time_signature,4.010752688172043
2008,time_signature,3.979591836734694
2009,time_signature,3.979591836734694
2010,time_signature,4.052083333333333
2011,time_signature,4.01063829787234
2012,time_signature,3.979381443298969
2013,time_signature,4.020833333333333
2014,time_signature,3.99
2015,time_signature,3.9797979797979797
2016,time_signature,3.98989898989899
2017,time_signature,3.989795918367347
2018,time_signature,3.9797979797979797
2019,time_signature,4.02020202020202
2020,time_signature,3.938775510204082
2021,time_signature,3.979381443298969
