year,audio_feature,value
2020,speechiness,0.12228181818181814
2021,speechiness,0.12443535353535357
1971,acousticness,0.4051879120879119
1972,acousticness,0.44028617021276584
1973,acousticness,0.35728228260869566
1974,acousticness,0.39843349462365596
1975,acousticness,0.35571566770833324
1976,acousticness,0.30535125000000013
1977,acousticness,0.32825945652173905
1978,acousticness,0.29999864583333335
1979,acousticness,0.23323393478260854
1980,acousticness,0.3064478488888888
1981,acousticness,0.29510324742268035
1982,acousticness,0.27995173195876294
1983,acousticness,0.22420771134020626
1984,acousticness,0.16703508421052632
1985,acousticness,0.21102940624999997
1986,acousticness,0.19878521276595745
1987,acousticness,0.2028453333333333
1988,acousticness,0.19890910989010993
1989,acousticness,0.2011275
1990,acousticness,0.16684118085106378
1991,acousticness,0.19411938202247195
1992,acousticness,0.1759932947368421
1993,acousticness,0.18909979347826084
1994,acousticness,0.2077046236559139
1995,acousticness,0.1994349064516128
1996,acousticness,0.22564813043478257
1997,acousticness,0.25280943333333344
1998,acousticness,0.22718954022988505
1999,acousticness,0.19065959130434773
2000,acousticness,0.13516385789473687
2001,acousticness,0.15523423655913984
2002,acousticness,0.15006332150537635
2003,acousticness,0.19767760000000006
2004,acousticness,0.17881071578947372
2005,acousticness,0.11861639583333328
2006,acousticness,0.11348805154639174
2007,acousticness,0.13481110744680852
2008,acousticness,0.12217961734693875
2009,acousticness,0.13267957938144326
2010,acousticness,0.11396507708333332
2011,acousticness,0.11029640425531914
2012,acousticness,0.10952577551020413
2013,acousticness,0.12811757291666673
2014,acousticness,0.14002916
2015,acousticness,0.17176296969696966
2016,acousticness,0.1685829292929293
2017,acousticness,0.1640772653061224
2018,acousticness,0.15711871717171716
2019,acousticness,0.21776764646464633
2020,acousticness,0.22795626262626248
2021,acousticness,0.2391091414141414
1971,instrumentalness,0.029328173406593397
1972,instrumentalness,0.04451049595744681
1973,instrumentalness,0.07729697934782609
1974,instrumentalness,0.04531848999999999
1975,instrumentalness,0.05872950822916667
1976,instrumentalness,0.052478791666666656
1977,instrumentalness,0.02933555891304349
1978,instrumentalness,0.01717426708333333
1979,instrumentalness,0.03830948423913043
1980,instrumentalness,0.04139477266666667
1981,instrumentalness,0.018394094020618562
1982,instrumentalness,0.01727789268041237
1983,instrumentalness,0.023745323298969077
1984,instrumentalness,0.007242103368421053
1985,instrumentalness,0.03270113833333334
1986,instrumentalness,0.033856699787234046
1987,instrumentalness,0.02660793927083333
1988,instrumentalness,0.011996604395604396
1989,instrumentalness,0.02323540936170214
1990,instrumentalness,0.02203064638297872
1991,instrumentalness,0.03691707584269662
1992,instrumentalness,0.02609064884210528
1993,instrumentalness,0.033764846195652176
1994,instrumentalness,0.009265244086021506
1995,instrumentalness,0.014103929032258058
1996,instrumentalness,0.03747097663043477
1997,instrumentalness,0.028161148333333334
1998,instrumentalness,0.009360829425287353
1999,instrumentalness,0.0017029272826086955
2000,instrumentalness,0.008939910947368422
2001,instrumentalness,0.009917795698924732
2002,instrumentalness,0.008736340645161293
2003,instrumentalness,0.008361311473684208
2004,instrumentalness,0.0031465386315789475
2005,instrumentalness,0.012220182291666666
2006,instrumentalness,0.012154260824742268
2007,instrumentalness,0.009612172127659576
2008,instrumentalness,0.013056352653061222
2009,instrumentalness,0.009530502061855671
2010,instrumentalness,0.0029902047916666673
2011,instrumentalness,0.0025357421276595744
2012,instrumentalness,0.0022921454081632655
2013,instrumentalness,0.006635748958333334
2014,instrumentalness,0.006855988900000001
2015,instrumentalness,0.001737462121212121
2016,instrumentalness,0.004341488888888888
2017,instrumentalness,0.0026995752040816327
2018,instrumentalness,0.001601396060606061
2019,instrumentalness,0.006467819797979799
2020,instrumentalness,0.0080936598989899
2021,instrumentalness,0.002104900606060606
1971,liveness,0.1831791208791209
1972,liveness,0.1926042553191489
1973,liveness,0.18573043478260864
1974,liveness,0.19286989247311825
1975,liveness,0.1883770833333334
1976,liveness,0.166671875
1977,liveness,0.15830217391304344
1978,liveness,0.17015312499999988
1979,liveness,0.17628478260869565
1980,liveness,0.13224888888888886
1981,liveness,0.15694639175257738
1982,liveness,0.19185773195876285
1983,liveness,0.1633567010309278
1984,liveness,0.20666842105263158
1985,liveness,0.14936979166666672
1986,liveness,0.14733510638297875
1987,liveness,0.13283750000000003
1988,liveness,0.15854175824175826
1989,liveness,0.14790319148936165
1990,liveness,0.1698234042553191
1991,liveness,0.17716629213483148
1992,liveness,0.1723884210526316
1993,liveness,0.2023369565217391
1994,liveness,0.18028709677419355
1995,liveness,0.15819569892473126
1996,liveness,0.16656086956521737
1997,liveness,0.15788444444444444
1998,liveness,0.16897931034482758
1999,liveness,0.16457934782608696
2000,liveness,0.14669368421052634
2001,liveness,0.16668494623655913
2002,liveness,0.16373010752688175
2003,liveness,0.1759663157894736
2004,liveness,0.1577768421052632
2005,liveness,0.17012916666666675
2006,liveness,0.18745773195876286
2007,liveness,0.1863361702127659
2008,liveness,0.18010408163265304
2009,liveness,0.18799587628865977
2010,liveness,0.20557083333333345
2011,liveness,0.1880904255319149
2012,liveness,0.18750510204081636
2013,liveness,0.16463437500000003
2014,liveness,0.15886200000000006
2015,liveness,0.172780808080808
2016,liveness,0.17938383838383834
